Date,AK confirmed,AL confirmed,AK deaths,AL deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,1,0,0,0
2020-03-13,1,5,0,0
2020-03-14,1,11,0,0
2020-03-15,1,22,0,0
2020-03-16,3,29,0,0
2020-03-17,6,39,0,0
2020-03-18,6,51,0,0
2020-03-19,10,78,0,0
2020-03-20,13,106,0,0
2020-03-21,15,131,0,0
2020-03-22,23,167,0,0
2020-03-23,37,196,0,0
2020-03-24,42,242,0,0
2020-03-25,59,386,1,1
2020-03-26,69,531,1,1
2020-03-27,85,639,2,2
2020-03-28,102,717,2,3
2020-03-29,114,825,3,4
2020-03-30,119,941,3,6
2020-03-31,133,997,3,13
2020-04-01,142,1106,3,16
2020-04-02,147,1270,3,17
2020-04-03,157,1534,3,21
2020-04-04,171,1632,5,26
2020-04-05,185,1840,7,31
2020-04-06,191,2003,7,32
2020-04-07,213,2197,6,39
2020-04-08,226,2497,7,48
2020-04-09,236,2838,7,48
2020-04-10,247,3007,7,58
2020-04-11,258,3262,8,60
2020-04-12,273,3581,8,61
2020-04-13,278,3801,8,61
2020-04-14,286,3951,9,73
2020-04-15,294,4237,9,75
2020-04-16,301,4400,9,82
2020-04-17,310,4515,9,96
2020-04-18,315,4719,9,110
2020-04-19,320,4897,9,112
2020-04-20,322,5074,9,112
2020-04-21,330,5317,9,141
2020-04-22,336,5598,9,174
2020-04-23,338,5825,9,194
2020-04-24,340,6026,9,208
2020-04-25,340,6213,9,212
2020-04-26,342,6417,9,218
2020-04-27,346,6537,9,227
2020-04-28,352,6744,9,240
2020-04-29,356,6916,9,261
2020-04-30,356,7063,9,269
2020-05-01,365,7294,9,287
2020-05-02,366,7611,9,287
2020-05-03,369,7885,9,289
2020-05-04,371,8110,9,297
2020-05-05,372,8436,9,314
2020-05-06,373,8691,10,341
2020-05-07,375,9046,10,368
2020-05-08,378,9384,10,381
2020-05-09,379,9668,10,388
2020-05-10,380,9889,10,391
2020-05-11,382,10164,10,401
2020-05-12,384,10468,10,438
2020-05-13,384,10699,10,448
2020-05-14,388,11094,10,470
2020-05-15,388,11387,10,482
2020-05-16,388,11671,10,482
2020-05-17,397,11768,10,485
2020-05-18,400,12078,10,486
2020-05-19,400,12374,10,500
2020-05-20,402,13049,10,522
2020-05-21,402,13410,10,529
2020-05-22,404,13670,10,541
2020-05-23,408,14152,10,551
2020-05-24,408,14507,10,558
2020-05-25,409,15194,10,566
2020-05-26,411,15648,10,580
2020-05-27,412,16029,10,583
2020-05-28,425,16553,10,605
2020-05-29,430,17031,10,610
2020-05-30,434,17358,10,618
2020-05-31,460,17849,10,629
2020-06-01,467,18246,10,643
2020-06-02,487,18427,10,650
2020-06-03,505,18553,10,650
2020-06-04,513,18766,10,651
2020-06-05,524,19073,10,670
2020-06-06,536,19709,10,684
2020-06-07,544,20166,10,687
2020-06-08,563,20590,10,712
2020-06-09,573,21071,11,723
2020-06-10,593,21626,11,739
2020-06-11,610,22474,11,750
2020-06-12,625,23333,12,764
2020-06-13,652,24220,12,768
2020-06-14,661,25235,12,768
2020-06-15,664,26272,12,774
2020-06-16,676,26912,12,785
2020-06-17,696,27312,12,790
2020-06-18,708,28206,12,809
2020-06-19,721,29002,12,821
2020-06-20,742,29549,12,838
2020-06-21,753,30021,12,839
2020-06-22,759,30453,12,840
2020-06-23,759,31097,12,864
2020-06-24,759,32064,12,890
2020-06-25,784,33206,12,896
2020-06-26,835,34181,12,907
2020-06-27,835,35083,12,919
2020-06-28,876,35441,12,919
2020-06-29,900,37175,12,929
2020-06-30,932,38045,12,950
2020-07-01,967,38962,14,972
2020-07-02,1002,40111,14,985
2020-07-03,1044,41865,14,1006
2020-07-04,1088,42862,14,1007
2020-07-05,1115,43953,14,1007
2020-07-06,1166,44878,14,1007
2020-07-07,1184,45785,14,1033
2020-07-08,1226,46962,14,1058
2020-07-09,1269,49174,14,1068
2020-07-10,1319,50508,14,1104
2020-07-11,1378,51947,14,1114
2020-07-12,1474,53587,17,1121
2020-07-13,1539,55545,17,1124
2020-07-14,1585,57255,17,1164
2020-07-15,1628,59067,17,1211
2020-07-16,1680,61088,17,1230
2020-07-17,1722,63091,17,1265
2020-07-18,1849,65234,18,1286
2020-07-19,1946,67011,18,1287
2020-07-20,1949,68891,18,1291
2020-07-21,2041,70358,18,1303
2020-07-22,2132,71813,19,1364
2020-07-23,2194,74212,19,1397
2020-07-24,2249,76005,19,1438
2020-07-25,2339,78130,20,1456
2020-07-26,2525,79294,20,1473
2020-07-27,2623,82295,21,1491
2020-07-28,2730,82366,22,1491
2020-07-29,2798,82366,22,1538
2020-07-30,2879,85762,23,1565
2020-07-31,2879,87723,23,1580
2020-08-01,3137,89349,24,1603
2020-08-02,3281,91444,24,1627
2020-08-03,3342,92661,25,1633
2020-08-04,3395,93702,25,1666
2020-08-05,3449,94654,25,1695
2020-08-06,3484,96592,25,1714
2020-08-07,3537,98301,25,1735
2020-08-08,3614,101334,26,1768
2020-08-09,3712,101334,26,1768
2020-08-10,3775,103020,26,1797
2020-08-11,3821,103851,26,1847
2020-08-12,3881,104786,26,1882
2020-08-13,3963,105557,27,1890
2020-08-14,4073,106309,27,1893
2020-08-15,4156,107580,28,1896
2020-08-16,4259,108433,28,1898
2020-08-17,4309,109004,28,1925
2020-08-18,4371,110361,29,1936
2020-08-19,4438,111478,29,1944
2020-08-20,4520,112449,29,1974
2020-08-21,4588,112770,30,1990
2020-08-22,4677,114532,31,2011
2020-08-23,4741,115060,32,2013
2020-08-24,4810,116710,32,2024
2020-08-25,4843,117242,36,2037
2020-08-26,4895,119254,37,2045
2020-08-27,4975,121023,37,2076
2020-08-28,5092,122185,37,2107
2020-08-29,5182,123889,37,2152
2020-08-30,5226,125235,37,2162
2020-08-31,5263,126058,37,2182
2020-09-01,5298,127616,39,2200
2020-09-02,5364,128239,39,2217
2020-09-03,5466,129285,40,2233
2020-09-04,5586,130393,40,2266
2020-09-05,5679,131803,42,2275
2020-09-06,5765,132314,42,2276
2020-09-07,5798,132973,42,2276
2020-09-08,5833,133606,42,2277
2020-09-09,5896,134417,42,2285
2020-09-10,6020,135565,42,2301
2020-09-11,6113,136703,43,2333
2020-09-12,6216,137646,44,2350
2020-09-13,6278,138755,44,2351
2020-09-14,6353,139459,44,2355
2020-09-15,6395,140160,44,2387
2020-09-16,6444,141087,44,2392
2020-09-17,6549,141757,44,2401
2020-09-18,6658,142863,45,2428
2020-09-19,6743,144164,45,2437
2020-09-20,6836,144962,45,2437
2020-09-21,6906,145780,45,2439
2020-09-22,6950,146584,45,2457
2020-09-23,7004,147153,45,2488
2020-09-24,7132,150658,46,2491
2020-09-25,7254,151591,52,2501
2020-09-26,7367,152321,52,2501
2020-09-27,7481,152321,56,2501
2020-09-28,7597,152983,56,2501
2020-09-29,7721,153554,56,2517
2020-09-30,7824,154701,56,2540
2020-10-01,7948,155744,57,2542
2020-10-02,8074,156698,57,2550
2020-10-03,8217,158380,58,2558
2020-10-04,8405,159169,58,2558
2020-10-05,8613,159713,58,2559
2020-10-06,8752,160477,58,2580
2020-10-07,8878,161418,59,2601
2020-10-08,9005,161975,60,2637
2020-10-09,9182,163465,60,2653
2020-10-10,9431,164526,60,2664
2020-10-11,9686,165342,60,2664
2020-10-12,9877,166076,60,2665
2020-10-13,10028,167193,60,2665
2020-10-14,10171,167977,64,2706
2020-10-15,10323,169162,65,2756
2020-10-16,10549,170374,66,2786
2020-10-17,10760,171662,67,2788
2020-10-18,10980,172626,67,2788
2020-10-19,11182,173485,67,2789
2020-10-20,11393,174528,67,2805
2020-10-21,11605,175674,68,2828
2020-10-22,11837,177064,68,2843
2020-10-23,12118,180916,68,2859
2020-10-24,12489,183276,68,2866
2020-10-25,13012,184355,68,2866
2020-10-26,13358,185320,68,2863
2020-10-27,13739,186436,70,2890
2020-10-28,14094,187705,71,2909
2020-10-29,14454,189149,77,2911
2020-10-30,14835,190496,81,2930
2020-10-31,15273,192285,82,2964
2020-11-01,15621,193983,83,2970
2020-11-02,15971,194885,84,2970
2020-11-03,16360,195929,84,2983
2020-11-04,16764,197777,84,3001
2020-11-05,17072,199158,84,3021
2020-11-06,17597,200713,83,3046
2020-11-07,18198,202482,83,3079
2020-11-08,18716,203687,83,3080
2020-11-09,19187,204856,83,3080
2020-11-10,19712,206567,91,3116
2020-11-11,20207,208636,94,3197
2020-11-12,20688,210637,94,3209
2020-11-13,21275,213617,95,3229
2020-11-14,22014,215843,96,3244
2020-11-15,22660,217822,96,3246
2020-11-16,23240,219232,96,3247
2020-11-17,23240,220846,96,3296
2020-11-18,23240,223486,96,3342
2020-11-19,25192,225910,96,3413
2020-11-20,25192,228373,96,3446
2020-11-21,25192,230708,96,3455
2020-11-22,25934,232506,96,3455
2020-11-23,25934,234078,96,3457
2020-11-24,25934,236865,96,3470
2020-11-25,25934,239318,96,3530
2020-11-26,25934,241957,96,3570
2020-11-27,25934,242874,96,3570
2020-11-28,25934,244993,96,3570
2020-11-29,25934,247229,96,3575
2020-11-30,25934,249523,96,3576
2020-12-01,25934,252900,96,3635
2020-12-02,25934,256828,96,3709
2020-12-03,25934,260359,96,3774
2020-12-04,25934,264199,96,3829
2020-12-05,34773,267589,96,3874
2020-12-06,35529,269877,135,3886
2020-12-07,36003,272228,138,3889
2020-12-08,36560,276665,138,3938
2020-12-09,37141,280187,141,3982
2020-12-10,37761,284922,146,4029
2020-12-11,38381,288775,150,4079
2020-12-12,38896,288775,168,4079
2020-12-13,39529,288775,168,4079
2020-12-14,39949,297887,168,4099
2020-12-15,40224,301533,171,4124
2020-12-16,40821,305640,173,4197
2020-12-17,41200,310335,175,4253
2020-12-18,41685,315683,175,4296
2020-12-19,42010,319904,175,4389
2020-12-20,42191,322451,175,4389
2020-12-21,42340,324832,175,4389
2020-12-22,42778,329811,185,4452
2020-12-23,43135,334569,188,4587
2020-12-24,43401,338801,190,4676
2020-12-25,43401,342424,190,4680
2020-12-26,43756,343456,191,4683
2020-12-27,44043,345628,191,4689
2020-12-28,44164,347894,191,4710
2020-12-29,44344,351804,192,4737
2020-12-30,44723,356820,194,4774
2020-12-31,45213,361226,197,4827
2021-01-01,45212,365747,197,4871
2021-01-02,46009,369458,206,4871
2021-01-03,46298,371934,206,4872
2021-01-04,46557,374094,208,4877
2021-01-05,46737,379593,208,4885
2021-01-06,47071,384184,210,4992
2021-01-07,47393,389230,213,5078
2021-01-08,47787,394287,213,5191
2021-01-09,48090,399150,214,5299
2021-01-10,48336,401900,214,5333
2021-01-11,48509,403997,214,5346
2021-01-12,48509,407840,214,5568
2021-01-13,48913,410985,216,5753
2021-01-14,49239,414576,218,5941
2021-01-15,49531,417528,219,6027
2021-01-16,49711,420681,219,6118
2021-01-17,49987,422598,219,6118
2021-01-18,50134,424027,219,6119
2021-01-19,50264,426543,220,6125
2021-01-20,50416,429655,242,6282
2021-01-21,50618,432536,243,6379
2021-01-22,50874,436087,243,6486
2021-01-23,51115,439442,248,6657
2021-01-24,51276,441170,248,6660
2021-01-25,51354,443009,248,6662
2021-01-26,51817,445908,249,6895
2021-01-27,51985,449086,250,7170
2021-01-28,52186,452730,251,7338
2021-01-29,52369,455582,251,7564
2021-01-30,52500,455582,251,7566
2021-01-31,52628,459639,251,7688
2021-02-01,52696,460860,251,7688
2021-02-02,52804,462918,267,7894
2021-02-03,52985,465056,267,8203
2021-02-04,53143,467823,267,8365
2021-02-05,53304,469319,267,8449
2021-02-06,53307,471312,267,8522
2021-02-07,53307,472432,267,8524
2021-02-08,53707,473365,267,8531
2021-02-09,53823,474678,267,8588
2021-02-10,54003,476068,267,8889
2021-02-11,54143,477624,267,9022
2021-02-12,54288,478716,269,9181
2021-02-13,54289,479885,269,9244
2021-02-14,54290,480946,269,9244
2021-02-15,54290,481617,269,9246
2021-02-16,54737,482488,274,9259
2021-02-17,54792,483178,275,9349
2021-02-18,55000,484367,277,9426
2021-02-19,55184,485215,277,9574
2021-02-20,55186,485989,277,9591
2021-02-21,55186,486766,277,9593
2021-02-22,55485,487439,278,9593
2021-02-23,55538,488842,278,9663
2021-02-24,55710,490138,278,9747
2021-02-25,55847,491116,278,9835
2021-02-26,55947,491868,278,9875
2021-02-27,55947,492696,278,9934
2021-02-28,55947,493257,278,9934
2021-03-01,56290,493770,288,9936
2021-03-02,56409,494442,289,9995
2021-03-03,56582,497161,289,10033
2021-03-04,56717,498085,289,10095
2021-03-05,56853,498898,290,10125
2021-03-06,56853,499445,290,10152
2021-03-07,56853,499831,290,10152
2021-03-08,57180,500098,290,10152
2021-03-09,57267,500623,290,10189
2021-03-10,57410,501403,290,10225
2021-03-11,57635,502265,290,10279
2021-03-12,57740,502726,291,10305
2021-03-13,57740,503311,291,10333
2021-03-14,57740,503680,291,10333
2021-03-15,58104,508230,291,10335
2021-03-16,58204,508733,291,10343
2021-03-17,58371,509493,292,10368
2021-03-18,58520,510060,295,10397
2021-03-19,58594,510588,295,10429
2021-03-20,58594,511098,295,10441
2021-03-21,58594,511463,295,10441
2021-03-22,58934,511782,295,10441
2021-03-23,59106,511881,297,10456
2021-03-24,59303,512718,297,10491
2021-03-25,59448,513161,298,10511
2021-03-26,59627,513605,298,10527
2021-03-27,59627,514098,298,10530
2021-03-28,59627,514415,298,10530
2021-03-29,59627,514642,298,10530
2021-03-30,60248,515015,298,10532
2021-03-31,60248,515423,298,10558
2021-04-01,60628,515893,298,10558
2021-04-02,60823,516309,298,10611
2021-04-03,60823,516662,298,10640
