Date,Crashes,Cases
2020-01-22,489,0
2020-01-23,451,0
2020-01-24,524,0
2020-01-25,383,0
2020-01-26,397,0
2020-01-27,452,0
2020-01-28,404,0
2020-01-29,494,0
2020-01-30,525,0
2020-01-31,518,0
2020-02-01,409,0
2020-02-02,391,0
2020-02-03,559,0
2020-02-04,464,0
2020-02-05,432,0
2020-02-06,544,0
2020-02-07,604,0
2020-02-08,466,0
2020-02-09,373,0
2020-02-10,572,0
2020-02-11,458,0
2020-02-12,438,0
2020-02-13,504,0
2020-02-14,632,0
2020-02-15,440,0
2020-02-16,387,0
2020-02-17,339,0
2020-02-18,428,0
2020-02-19,477,0
2020-02-20,448,0
2020-02-21,504,0
2020-02-22,407,0
2020-02-23,392,0
2020-02-24,493,0
2020-02-25,527,0
2020-02-26,449,0
2020-02-27,581,0
2020-02-28,530,0
2020-02-29,456,0
2020-03-01,423,0
2020-03-02,562,1
2020-03-03,550,1
2020-03-04,540,9
2020-03-05,529,12
2020-03-06,673,2
2020-03-07,515,52
2020-03-08,408,30
2020-03-09,546,38
2020-03-10,450,28
2020-03-11,473,34
2020-03-12,456,118
2020-03-13,551,109
2020-03-14,371,93
2020-03-15,331,202
2020-03-16,378,221
2020-03-17,374,594
2020-03-18,298,1508
2020-03-19,338,2585
2020-03-20,305,2211
2020-03-21,238,4360
2020-03-22,139,3624
2020-03-23,225,5077
2020-03-24,201,4669
2020-03-25,168,7390
2020-03-26,187,6008
2020-03-27,195,5837
2020-03-28,183,8490
2020-03-29,146,5937
2020-03-30,164,7954
2020-03-31,157,7253
2020-04-01,154,7686
2020-04-02,167,8257
2020-04-03,190,13262
2020-04-04,155,10240
2020-04-05,94,8286
2020-04-06,127,8652
2020-04-07,129,8158
2020-04-08,125,10488
2020-04-09,103,10461
2020-04-10,115,10575
2020-04-11,121,9946
2020-04-12,106,8236
2020-04-13,137,6337
2020-04-14,135,7177
2020-04-15,139,11571
2020-04-16,138,8505
2020-04-17,158,7358
2020-04-18,125,7090
2020-04-19,102,6054
2020-04-20,140,4726
2020-04-21,121,4447
2020-04-22,148,5648
2020-04-23,108,5922
2020-04-24,172,8130
2020-04-25,152,10553
2020-04-26,140,5902
2020-04-27,131,3951
2020-04-28,185,3110
2020-04-29,137,4585
2020-04-30,173,4681
2020-05-01,186,3942
2020-05-02,189,4663
2020-05-03,167,3438
2020-05-04,174,2538
2020-05-05,174,2239
2020-05-06,184,2786
2020-05-07,175,3491
2020-05-08,177,2938
2020-05-09,147,2715
2020-05-10,163,2273
2020-05-11,173,1660
2020-05-12,191,1430
2020-05-13,212,2176
2020-05-14,171,2390
2020-05-15,242,2762
2020-05-16,216,2419
2020-05-17,171,1889
2020-05-18,185,1250
2020-05-19,229,1474
2020-05-20,192,1525
2020-05-21,211,2088
2020-05-22,264,1696
2020-05-23,193,1772
2020-05-24,197,1589
2020-05-25,213,1249
2020-05-26,223,1072
2020-05-27,239,1129
2020-05-28,209,1768
2020-05-29,258,1551
2020-05-30,226,1376
2020-05-31,208,1110
2020-06-01,196,941
2020-06-02,197,1329
2020-06-03,216,1045
2020-06-04,244,1048
2020-06-05,248,1075
2020-06-06,260,1108
2020-06-07,206,781
2020-06-08,234,702
2020-06-09,251,683
2020-06-10,238,674
2020-06-11,249,736
2020-06-12,276,822
2020-06-13,282,916
2020-06-14,228,694
2020-06-15,222,620
2020-06-16,259,631
2020-06-17,244,567
2020-06-18,226,618
2020-06-19,305,796
2020-06-20,244,716
2020-06-21,243,664
2020-06-22,295,552
2020-06-23,290,597
2020-06-24,300,581
2020-06-25,250,749
2020-06-26,337,805
2020-06-27,272,703
2020-06-28,240,616
2020-06-29,300,381
2020-06-30,278,507
2020-07-01,259,752
2020-07-02,340,773
2020-07-03,302,918
2020-07-04,278,724
2020-07-05,291,537
2020-07-06,257,864
2020-07-07,243,249
2020-07-08,267,70
2020-07-09,313,1192
2020-07-10,296,783
2020-07-11,274,740
2020-07-12,291,677
2020-07-13,290,557
2020-07-14,320,912
2020-07-15,268,831
2020-07-16,322,769
2020-07-17,308,776
2020-07-18,316,754
2020-07-19,310,502
2020-07-20,281,519
2020-07-21,331,855
2020-07-22,289,695
2020-07-23,332,822
2020-07-24,312,742
2020-07-25,290,760
2020-07-26,312,536
2020-07-27,320,608
2020-07-28,298,534
2020-07-29,318,715
2020-07-30,299,777
2020-07-31,343,644
2020-08-01,375,753
2020-08-02,285,531
2020-08-03,353,745
2020-08-04,451,546
2020-08-05,344,634
2020-08-06,356,705
2020-08-07,337,714
2020-08-08,260,703
2020-08-09,282,515
2020-08-10,320,476
2020-08-11,317,667
2020-08-12,292,700
2020-08-13,274,737
2020-08-14,343,727
2020-08-15,312,734
2020-08-16,279,607
2020-08-17,288,408
2020-08-18,311,655
2020-08-19,286,631
2020-08-20,306,601
2020-08-21,348,709
2020-08-22,328,653
2020-08-23,316,572
2020-08-24,319,408
2020-08-25,286,629
2020-08-26,310,566
2020-08-27,343,791
2020-08-28,306,636
2020-08-29,291,635
2020-08-30,303,698
2020-08-31,294,656
2020-09-01,337,754
2020-09-02,308,708
2020-09-03,363,889
2020-09-04,383,864
2020-09-05,362,801
2020-09-06,293,729
2020-09-07,295,520
2020-09-08,336,557
2020-09-09,292,576
2020-09-10,347,757
2020-09-11,351,880
2020-09-12,304,849
2020-09-13,245,725
2020-09-14,289,583
2020-09-15,301,766
2020-09-16,307,652
2020-09-17,322,896
2020-09-18,341,790
2020-09-19,330,986
2020-09-20,274,862
2020-09-21,310,573
2020-09-22,307,754
2020-09-23,356,665
2020-09-24,296,955
2020-09-25,348,908
2020-09-26,330,1005
2020-09-27,315,866
2020-09-28,300,834
2020-09-29,317,1189
2020-09-30,347,1000
2020-10-01,332,1382
2020-10-02,350,1598
2020-10-03,323,1731
2020-10-04,269,1222
2020-10-05,302,933
2020-10-06,325,1393
2020-10-07,308,1360
2020-10-08,332,1836
2020-10-09,330,1592
2020-10-10,277,1447
2020-10-11,248,1143
2020-10-12,323,1029
2020-10-13,323,1393
2020-10-14,333,1232
2020-10-15,311,1460
2020-10-16,304,1707
2020-10-17,335,1784
2020-10-18,305,1390
2020-10-19,276,998
2020-10-20,336,1201
2020-10-21,338,2026
2020-10-22,264,1628
2020-10-23,337,1637
2020-10-24,301,2061
2020-10-25,281,1632
2020-10-26,314,1191
2020-10-27,262,1991
2020-10-28,309,2031
2020-10-29,334,2499
2020-10-30,394,2255
2020-10-31,334,2112
2020-11-01,308,2192
2020-11-02,327,1633
2020-11-03,285,2321
2020-11-04,302,2126
2020-11-05,357,2997
2020-11-06,365,3209
2020-11-07,329,3587
2020-11-08,326,3428
2020-11-09,318,3144
2020-11-10,343,3965
2020-11-11,300,4820
2020-11-12,327,4797
2020-11-13,391,5401
2020-11-14,298,5388
2020-11-15,249,3649
2020-11-16,305,3490
2020-11-17,260,5088
2020-11-18,294,5294
2020-11-19,279,5310
2020-11-20,358,5468
2020-11-21,314,5973
2020-11-22,222,5391
2020-11-23,298,5906
2020-11-24,324,4881
2020-11-25,276,6265
2020-11-26,203,6933
2020-11-27,279,8176
2020-11-28,239,6063
2020-11-29,248,6723
2020-11-30,301,6819
2020-12-01,268,7285
2020-12-02,235,8973
2020-12-03,252,9855
2020-12-04,372,11271
2020-12-05,278,10761
2020-12-06,241,9702
2020-12-07,281,7302
2020-12-08,282,9335
2020-12-09,280,10600
2020-12-10,311,10178
2020-12-11,347,10595
2020-12-12,284,11129
2020-12-13,265,10194
2020-12-14,250,9044
2020-12-15,315,10353
2020-12-16,341,9998
2020-12-17,232,10914
2020-12-18,278,12697
2020-12-19,251,9919
2020-12-20,194,9957
2020-12-21,268,9007
2020-12-22,320,9716
2020-12-23,360,11937
2020-12-24,315,12568
2020-12-25,168,12446
2020-12-26,226,10806
2020-12-27,184,7623
2020-12-28,217,10407
2020-12-29,243,11438
2020-12-30,238,13422
2020-12-31,278,16802
2021-01-01,255,16497
2021-01-02,218,15074
2021-01-03,183,11368
2021-01-04,239,11209
2021-01-05,225,12666
2021-01-06,216,16648
2021-01-07,280,17636
2021-01-08,268,18832
2021-01-09,243,16943
2021-01-10,176,15355
2021-01-11,235,13714
2021-01-12,273,15214
2021-01-13,241,14577
2021-01-14,251,13661
2021-01-15,270,19942
2021-01-16,261,15998
2021-01-17,209,13842
2021-01-18,225,12185
2021-01-19,261,12512
2021-01-20,253,13364
2021-01-21,249,13886
2021-01-22,253,15144
2021-01-23,250,13786
2021-01-24,212,12720
2021-01-25,259,12003
2021-01-26,262,11064
2021-01-27,260,11028
2021-01-28,263,13398
2021-01-29,290,12579
2021-01-30,283,12804
2021-01-31,296,10793
2021-02-01,239,8439
2021-02-02,238,8215
2021-02-03,245,5925
2021-02-04,277,7414
2021-02-05,323,8777
2021-02-06,273,0
2021-02-07,242,21277
2021-02-08,300,8448
2021-02-09,229,7866
2021-02-10,279,7101
2021-02-11,298,10099
2021-02-12,290,8404
2021-02-13,209,8763
2021-02-14,184,8316
2021-02-15,207,6365
2021-02-16,212,6753
2021-02-17,239,6092
2021-02-18,256,6794
2021-02-19,199,8710
2021-02-20,256,7692
2021-02-21,208,6610
2021-02-22,243,6146
2021-02-23,239,6654
2021-02-24,267,6189
2021-02-25,268,8746
2021-02-26,301,0
2021-02-27,220,16345
2021-02-28,212,7580
2021-03-01,224,6235
2021-03-02,269,5800
2021-03-03,242,7704
2021-03-04,262,7593
2021-03-05,306,8956
2021-03-06,251,7647
2021-03-07,216,6789
2021-03-08,250,5309
2021-03-09,297,6850
2021-03-10,223,6489
2021-03-11,287,6747
2021-03-12,337,0
2021-03-13,250,15899
2021-03-14,243,5943
2021-03-15,253,5807
2021-03-16,236,6508
2021-03-17,243,8976
2021-03-18,244,7796
2021-03-19,308,8262
2021-03-20,282,7623
2021-03-21,261,7938
2021-03-22,294,6361
2021-03-23,282,6801
2021-03-24,265,7278
2021-03-25,256,8081
2021-03-26,334,8507
2021-03-27,322,8201
2021-03-28,198,9395
2021-03-29,237,7622
2021-03-30,280,6488
2021-03-31,284,8382
2021-04-01,262,8888
2021-04-02,282,7787
2021-04-03,281,7846
